Length,Alanine,Arginine,Asparagine,Aspartic_Acid,Cysteine,Glutamic_Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Mathionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Aliphatic,Aromatic,NonPolar,Polar,Charged,Basic,Acidic,"Celularity (Sing, Mult)_SING","Celularity (Sing, Mult)_MUL","Celularity (Sing, Mult)_COMP","Celularity (Sing, Mult)_UN","Tissue (Yes, No)_NOT","Tissue (Yes, No)_COMP","Tissue (Yes, No)_YES","Mesoderm (Yes, NO)_NOT","Mesoderm (Yes, NO)_COMP","Mesoderm (Yes, NO)_YES",Mouthparts(Pro-Deuter)_NO,Mouthparts(Pro-Deuter)_PRO,Mouthparts(Pro-Deuter)_NOT,Mouthparts(Pro-Deuter)_COMP,Mouthparts(Pro-Deuter)_DEU
33,0.333,0,0,0,0,0.091,0,0.121,0,0.03,0.061,0.182,0,0,0,0.061,0,0.03,0,0.091,0.515,0.03,0.667,0.333,0.273,0.182,0.091,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
34,0,0.059,0.059,0,0,0,0.088,0.118,0,0.029,0.029,0.059,0,0.088,0.294,0,0.029,0.029,0.059,0.059,0.118,0.176,0.706,0.294,0.118,0.118,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
54,0.037,0.037,0,0.056,0.148,0.019,0.074,0.111,0.056,0,0.019,0.093,0,0.056,0.037,0.13,0.019,0.019,0.037,0.056,0.111,0.167,0.519,0.481,0.259,0.185,0.074,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
49,0.061,0.061,0.102,0.041,0.163,0.041,0.02,0.102,0.061,0,0.041,0.061,0,0.041,0,0.041,0.082,0.061,0.02,0,0.102,0.184,0.49,0.51,0.265,0.184,0.082,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
34,0.118,0,0.088,0.059,0,0.059,0.029,0.059,0.029,0.147,0.059,0.118,0,0.088,0.059,0,0,0,0,0.088,0.412,0.118,0.618,0.382,0.265,0.147,0.118,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
18,0,0.167,0.111,0,0,0,0.056,0.056,0.056,0.111,0,0,0,0,0.333,0,0,0,0.056,0.056,0.167,0.111,0.611,0.389,0.222,0.222,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
18,0,0.167,0.111,0,0,0,0.056,0.056,0.056,0.056,0.056,0,0,0,0.333,0,0,0,0.056,0.056,0.167,0.111,0.611,0.389,0.222,0.222,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
12,0,0.333,0,0,0.167,0,0,0,0,0.167,0.083,0,0,0,0,0,0,0,0,0.25,0.5,0,0.667,0.333,0.333,0.333,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
43,0,0.209,0,0,0,0,0,0.023,0,0.116,0.023,0,0,0.14,0.465,0,0,0,0.023,0,0.14,0.163,0.791,0.209,0.209,0.209,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
60,0,0.283,0,0,0,0,0,0.05,0,0.067,0.083,0,0,0.05,0.467,0,0,0,0,0,0.15,0.05,0.717,0.283,0.283,0.283,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
37,0.27,0.108,0.027,0.027,0,0.054,0.054,0.081,0,0.054,0.027,0.027,0,0.027,0.054,0.027,0.027,0.027,0,0.108,0.459,0.054,0.649,0.351,0.216,0.135,0.081,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
13,0.077,0,0,0.077,0,0.077,0,0.077,0,0.308,0.077,0.154,0,0.077,0,0.077,0,0,0,0,0.462,0.077,0.615,0.385,0.308,0.154,0.154,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
13,0.077,0,0,0.077,0,0.077,0,0.077,0,0.231,0.077,0.154,0,0.154,0,0.077,0,0,0,0,0.385,0.154,0.615,0.385,0.308,0.154,0.154,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.062,0.188,0.125,0,0.062,0,0.062,0,0,0,0.188,0.5,0.062,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.062,0.188,0.125,0,0.062,0,0.062,0,0,0,0.188,0.5,0.062,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.125,0.125,0.125,0,0.062,0,0.062,0,0,0,0.188,0.5,0.062,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.062,0.188,0.125,0,0.062,0,0,0.062,0,0,0.188,0.5,0.062,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.062,0.125,0.125,0,0.125,0,0.062,0,0,0,0.188,0.438,0.125,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
16,0.062,0,0,0.062,0,0,0,0.188,0,0.188,0.125,0.125,0,0.062,0,0.062,0,0,0,0.125,0.5,0.062,0.75,0.25,0.188,0.125,0.062,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.118,0,0,0.059,0,0,0,0.176,0.059,0.235,0.059,0.118,0,0.059,0,0.059,0,0,0,0.059,0.471,0.118,0.706,0.294,0.235,0.176,0.059,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.118,0,0,0.059,0,0,0,0.118,0.059,0.235,0.059,0.118,0,0.059,0,0.118,0,0,0,0.059,0.471,0.118,0.647,0.353,0.235,0.176,0.059,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
17,0.059,0,0,0.059,0,0,0,0.118,0.059,0.235,0.059,0.118,0,0.059,0,0.118,0,0,0,0.118,0.471,0.118,0.647,0.353,0.235,0.176,0.059,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
97,0.093,0.093,0.134,0.082,0.072,0,0.01,0.082,0.01,0.052,0.031,0.021,0,0.072,0.082,0.021,0.093,0,0.021,0.031,0.206,0.103,0.536,0.464,0.206,0.124,0.082,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
12,0,0,0,0,0,0,0.083,0.417,0.25,0,0,0,0,0,0,0.083,0,0,0,0.167,0.167,0.25,0.583,0.417,0.25,0.25,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
